dataSize, InserSort
500,0.000315
600,0.000453
700,0.000596
800,0.000962
900,0.001297
1000,0.001486
1100,0.00154
1200,0.001778
1300,0.002059
1400,0.002373
1500,0.002772
1600,0.00343
1700,0.004786
1800,0.003961
1900,0.004422
2000,0.005745
2100,0.005398
2200,0.005865
2300,0.008201
2400,0.007048
2500,0.007673
2600,0.008162
2700,0.008777
2800,0.009389
2900,0.010082
3000,0.011772
3100,0.01532
3200,0.014774
3300,0.01334
3400,0.01458
3500,0.014833
3600,0.015519
3700,0.016401
3800,0.017554
3900,0.018759
4000,0.019504
4100,0.020343
4200,0.021363
4300,0.022747
4400,0.023383
4500,0.030999
4600,0.026673
4700,0.027618
4800,0.027712
4900,0.03365
5000,0.033401
5100,0.03289
5200,0.033811
5300,0.047881
5400,0.049384
5500,0.048415
5600,0.045218
5700,0.047086
5800,0.05529
5900,0.05537
6000,0.061991
6100,0.057522
6200,0.056145
6300,0.064225
6400,0.063081
6500,0.066654
6600,0.067117
6700,0.056688
6800,0.058883
6900,0.058011
7000,0.059725
7100,0.061603
7200,0.063759
7300,0.064518
7400,0.067251
7500,0.075379
7600,0.077793
7700,0.075298
7800,0.073909
7900,0.075437
8000,0.077782
8100,0.079396
8200,0.081901
8300,0.083262
8400,0.087212
8500,0.087716
8600,0.090397
8700,0.09184
8800,0.095453
8900,0.095612
9000,0.098857
9100,0.099969
9200,0.105719
9300,0.110478
9400,0.116401
9500,0.121776
9600,0.112282
9700,0.114485
9800,0.115716
9900,0.118675
10000,0.120961
10100,0.124523
10200,0.136398
10300,0.133841
10400,0.132337
10500,0.134138
