dataSize,heapSort,MergeSort,InsertionSort
500,0.000102,3.50E-05,0.000315
600,0.000126,4.20E-05,0.000453
700,0.00015,4.90E-05,0.000596
800,0.000172,5.70E-05,0.000962
900,0.000197,6.40E-05,0.001297
1000,0.000224,7.10E-05,0.001486
1100,0.000247,8.00E-05,0.00154
1200,0.000275,8.90E-05,0.001778
1300,0.000303,9.60E-05,0.002059
1400,0.000327,0.000119,0.002373
1500,0.000354,0.000112,0.002772
1600,0.000507,0.000119,0.00343
1700,0.000499,0.000128,0.004786
1800,0.000441,0.000135,0.003961
1900,0.000513,0.000143,0.004422
2000,0.000604,0.000151,0.005745
2100,0.000587,0.000166,0.005398
2200,0.000574,0.000198,0.005865
2300,0.000557,0.000185,0.008201
2400,0.000558,0.00019,0.007048
2500,0.000598,0.000194,0.007673
2600,0.000577,0.000205,0.008162
2700,0.0006,0.000213,0.008777
2800,0.000627,0.000226,0.009389
2900,0.000649,0.000238,0.010082
3000,0.000673,0.000353,0.011772
3100,0.000696,0.000323,0.01532
3200,0.000722,0.000412,0.014774
3300,0.000756,0.000358,0.01334
3400,0.000766,0.000382,0.01458
3500,0.000795,0.000347,0.014833
3600,0.00082,0.000296,0.015519
3700,0.000842,0.000324,0.016401
3800,0.00092,0.000308,0.017554
3900,0.00101,0.000311,0.018759
4000,0.00099,0.000321,0.019504
4100,0.00154,0.000342,0.020343
4200,0.001278,0.000347,0.021363
4300,0.001046,0.000347,0.022747
4400,0.001044,0.000458,0.023383
4500,0.00107,0.000561,0.030999
4600,0.001105,0.000512,0.026673
4700,0.001182,0.000405,0.027618
4800,0.001299,0.000418,0.027712
4900,0.001146,0.000414,0.03365
5000,0.001172,0.000434,0.033401
5100,0.001393,0.000433,0.03289
5200,0.001341,0.000679,0.033811
5300,0.001342,0.000653,0.047881
5400,0.001326,0.000563,0.049384
5500,0.001306,0.000747,0.048415
5600,0.001332,0.000658,0.045218
5700,0.001354,0.000689,0.047086
5800,0.001379,0.000504,0.05529
5900,0.001412,0.000573,0.05537
6000,0.001515,0.000527,0.061991
6100,0.001911,0.000558,0.057522
6200,0.00204,0.00052,0.056145
6300,0.001536,0.000529,0.064225
6400,0.001537,0.000534,0.063081
6500,0.001561,0.000628,0.066654
6600,0.001583,0.00055,0.067117
6700,0.001609,0.000564,0.056688
6800,0.00164,0.000573,0.058883
6900,0.001663,0.000581,0.058011
7000,0.001727,0.000589,0.059725
7100,0.001701,0.000595,0.061603
7200,0.001742,0.000671,0.063759
7300,0.001766,0.000865,0.064518
7400,0.001792,0.000827,0.067251
7500,0.001821,0.000771,0.075379
7600,0.001849,0.000798,0.077793
7700,0.00187,0.000999,0.075298
7800,0.001906,0.000673,0.073909
7900,0.001922,0.000706,0.075437
8000,0.001948,0.000716,0.077782
8100,0.001975,0.000696,0.079396
8200,0.002006,0.000695,0.081901
8300,0.002026,0.000708,0.083262
8400,0.002055,0.000719,0.087212
8500,0.002099,0.000728,0.087716
8600,0.00254,0.000752,0.090397
8700,0.002437,0.000746,0.09184
8800,0.002135,0.000768,0.095453
8900,0.002188,0.000766,0.095612
9000,0.002212,0.000773,0.098857
9100,0.002211,0.000779,0.099969
9200,0.002267,0.000787,0.105719
9300,0.002289,0.000847,0.110478
9400,0.002296,0.00107,0.116401
9500,0.002319,0.000835,0.121776
9600,0.002366,0.000889,0.112282
9700,0.002399,0.000939,0.114485
9800,0.002424,0.000859,0.115716
9900,0.002479,0.000867,0.118675
10000,0.002478,0.000906,0.120961
10100,0.002509,0.000873,0.124523
10200,0.002499,0.000955,0.136398
10300,0.002559,0.000912,0.133841
10400,0.002584,0.000937,0.132337
10500,0.002756,0.000914,0.134138
