dataSize, runTime
500,3.5e-05
600,4.2e-05
700,4.9e-05
800,5.7e-05
900,6.4e-05
1000,7.1e-05
1100,8e-05
1200,8.9e-05
1300,9.6e-05
1400,0.000119
1500,0.000112
1600,0.000119
1700,0.000128
1800,0.000135
1900,0.000143
2000,0.000151
2100,0.000166
2200,0.000198
2300,0.000185
2400,0.00019
2500,0.000194
2600,0.000205
2700,0.000213
2800,0.000226
2900,0.000238
3000,0.000353
3100,0.000323
3200,0.000412
3300,0.000358
3400,0.000382
3500,0.000347
3600,0.000296
3700,0.000324
3800,0.000308
3900,0.000311
4000,0.000321
4100,0.000342
4200,0.000347
4300,0.000347
4400,0.000458
4500,0.000561
4600,0.000512
4700,0.000405
4800,0.000418
4900,0.000414
5000,0.000434
5100,0.000433
5200,0.000679
5300,0.000653
5400,0.000563
5500,0.000747
5600,0.000658
5700,0.000689
5800,0.000504
5900,0.000573
6000,0.000527
6100,0.000558
6200,0.00052
6300,0.000529
6400,0.000534
6500,0.000628
6600,0.00055
6700,0.000564
6800,0.000573
6900,0.000581
7000,0.000589
7100,0.000595
7200,0.000671
7300,0.000865
7400,0.000827
7500,0.000771
7600,0.000798
7700,0.000999
7800,0.000673
7900,0.000706
8000,0.000716
8100,0.000696
8200,0.000695
8300,0.000708
8400,0.000719
8500,0.000728
8600,0.000752
8700,0.000746
8800,0.000768
8900,0.000766
9000,0.000773
9100,0.000779
9200,0.000787
9300,0.000847
9400,0.00107
9500,0.000835
9600,0.000889
9700,0.000939
9800,0.000859
9900,0.000867
10000,0.000906
10100,0.000873
10200,0.000955
10300,0.000912
10400,0.000937
10500,0.000914
